พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
มะละกอ,131.25,96,227.25,"363,948.00"
ไม้ยืนต้น,"2,463.00","6,301.00","8,764.00","1,778,708.00"
ปาล์มน้ำมัน,49,6,55,"1,367,350.00"
มะพร้าว,15,15,30,0
ยางพารา,"1,195.00","4,488.00","5,683.00",0
ยูคาลิปตัส,791,"1,451.00","2,242.00",0
ไผ่,177,216,393,0
หม่อน,236,125,361,"411,358.00"
ห้วยกระเจา,468,"13,694.50","14,162.50","74,876.50"
ไม้ผล,22,67.5,89.5,"20,968.00"
กล้วยหอม,8,6,14,"10,860.00"
ขนุนหนัง,0,1,1,0
ทุเรียน,0,22.5,22.5,0
น้อยหน่า,0,2,2,0
มะม่วง,3,9,12,"7,153.00"
มะละกอ,10,0,10,"2,955.00"
ลำไย,0,26,26,0
องุ่น,1,1,2,0
ไม้ยืนต้น,433,"13,627.00","14,060.00","45,163.50"
ปาล์มน้ำมัน,60,64,124,"35,879.00"
มะพร้าว,0,38,38,0
มะม่วงหิมพานต์,0,"1,000.00","1,000.00",0
ยางพารา,23,0,23,"9,284.50"
ยูคาลิปตัส,350,"12,513.00","12,863.00",0
ไผ่,0,12,12,0
สมุนไพรและเครื่องเทศ (รต.02),13,0,13,"8,745.00"
ดีปลี,13,0,13,"8,745.00"
กาฬสินธุ์,"112,097.37","100,207.61","212,304.98","10,293,133.10"
เมืองกาฬสินธุ์,327.25,671,998.25,"7,225.00"
ไม้ผล,48,73,121,"7,000.00"
ขนุนหนัง,1,1,2,"1,200.00"
ฝรั่ง,10,10,20,"5,800.00"
มะม่วง,37,62,99,0
ไม้ยืนต้น,279.25,598,877.25,225
ยางพารา,279.25,226,505.25,225
ยูคาลิปตัส,0,362,362,0
ไผ่,0,10,10,0
นามน,"1,026.32","2,507.86","3,534.18","308,605.00"
ไม้ผล,209,97,306,"297,765.00"
มะขาม,5,0,5,500
มะนาว,83,71,154,"69,265.00"
มะม่วง,120,26,146,"203,000.00"
ไม้ผลอื่นๆ,1,0,1,"25,000.00"
ไม้ยืนต้น,817.32,"2,410.86","3,228.18","10,840.00"
ปาล์มน้ำมัน,172.25,196.5,368.75,400
มะพร้าว,2,1,3,40
ยางพารา,643.07,"2,213.36","2,856.43","10,400.00"
กมลาไสย,203.9,139,342.9,"65,423.00"
ไม้ผล,18,8,26,"31,945.00"
กล้วยน้ำว้า,12,8,20,"27,700.00"
มะนาว,6,0,6,"4,245.00"
ไม้ยืนต้น,185.9,131,316.9,"33,478.00"
ปาล์มน้ำมัน,15.9,6,21.9,0
ยางพารา,170,125,295,"33,478.00"
ร่องคำ,"1,884.00",522,"2,406.00","633,950.00"
ไม้ผล,300,278,578,"472,400.00"
กล้วยน้ำว้า,140,155,295,"350,000.00"
กล้วยหอม,12,66,78,"30,000.00"
มะนาว,10,15,25,"20,000.00"
มะม่วง,138,42,180,"72,400.00"
ไม้ยืนต้น,"1,584.00",244,"1,828.00","161,550.00"
ปาล์มน้ำมัน,52,12,64,0
มะพร้าว,35,0,35,"21,000.00"
ยางพารา,"1,492.00",199,"1,691.00","130,550.00"
ไผ่,5,33,38,"10,000.00"
กุฉินารายณ์,"35,991.75","12,139.00","48,130.75","2,299,695.00"
ไม้ผล,661,247,908,"41,930.00"
กล้วยน้ำว้า,491,127,618,"41,930.00"
มะขาม,0,20,20,0
มะม่วง,170,100,270,0
ไม้ยืนต้น,"35,330.75","11,892.00","47,222.75","2,257,765.00"
ปาล์มน้ำมัน,933.75,361,"1,294.75","3,250.00"
ยางพารา,"33,397.00","11,274.00","44,671.00","2,254,350.00"
ยูคาลิปตัส,820,255,"1,075.00",0
หวาย,50,0,50,0
ไผ่,130,2,132,165
เขาวง,"2,338.50",748,"3,086.50","960,010.00"
ไม้ผล,354,103,457,"49,085.00"
กล้วยน้ำว้า,197,31,228,"15,550.00"
ขนุนหนัง,12,30,42,"1,200.00"
ทุเรียน,0,4,4,0
มะขาม,26,17,43,"2,000.00"
มะนาว,8,10,18,"3,485.00"
มะม่วง,57,0,57,"26,600.00"
ลำไย,8,0,8,0
แก้วมังกร,46,11,57,250
ไม้ยืนต้น,"1,984.50",645,"2,629.50","910,925.00"
ปาล์มน้ำมัน,76.5,15,91.5,"13,290.00"
มะพร้าว,16,9,25,680
ยางพารา,"1,774.00",621,"2,395.00","36,955.00"
ยูคาลิปตัส,118,0,118,"860,000.00"
ยางตลาด,"1,404.00","1,807.00","3,211.00","14,550.00"
ไม้ยืนต้น,"1,404.00","1,807.00","3,211.00","14,550.00"
ยางพารา,"1,404.00","1,807.00","3,211.00","14,550.00"
ห้วยเม็ก,"5,346.00","5,494.00","10,840.00","1,331,002.50"
ไม้ผล,39,381.25,420.25,"93,000.00"
กล้วยน้ำว้า,0,0.5,0.5,0
กล้วยหอม,0,0.25,0.25,0
ทุเรียน,0,25,25,0
มะม่วง,35,348.5,383.5,"93,000.00"
ลำไย,0,5,5,0
ไม้ผลอื่นๆ,4,2,6,0
ไม้ยืนต้น,"5,307.00","5,112.75","10,419.75","1,238,002.50"
ปาล์มน้ำมัน,108.5,89.5,198,"251,850.00"
ยางพารา,"5,178.50","4,976.25","10,154.75","984,152.50"
หม่อน,0,10,10,0
อินทผาลัม,0,27,27,0
ไม้ยืนต้นอื่นๆ,20,10,30,"2,000.00"
สหัสขันธ์,"7,402.25","8,981.00","16,383.25","112,755.00"
ไม้ผล,6,12.5,18.5,400
กล้วยน้ำว้า,0,6,6,0
กล้วยตานี,1,0.5,1.5,0
พุทรา,2,0,2,0
มะนาว,2,2,4,400
มะม่วง,0,3,3,0
ลำไย,1,1,2,0
ไม้ยืนต้น,"7,396.25","8,968.50","16,364.75","112,355.00"
ปาล์มน้ำมัน,0,22,22,0
ยางพารา,"7,391.25","8,355.50","15,746.75","112,355.00"
ยูคาลิปตัส,0,571,571,0
ไม้สัก,0,9,9,0
ไผ่,0,1,1,0
อินทผาลัม,5,10,15,0
คำม่วง,"12,430.00","6,374.00","18,804.00","199,700.00"
ไม้ผล,"1,914.00",300,"2,214.00","199,400.00"
กล้วยน้ำว้า,326,0,326,0
พุทรา,"1,324.00",300,"1,624.00",0
มะม่วง,188,0,188,"199,400.00"
ลำไย,68,0,68,0
ลิ้นจี่,2,0,2,0
แก้วมังกร,6,0,6,0
ไม้ยืนต้น,"10,516.00","6,074.00","16,590.00",300
ปาล์มน้ำมัน,180,586,766,0
มะพร้าว,6,6,12,300
ยางพารา,"9,618.00","5,445.00","15,063.00",0
ยูคาลิปตัส,632,0,632,0
ไผ่,50,0,50,0
หม่อน,30,0,30,0
ผักหวานป่า,0,37,37,0
ท่าคันโท,"11,043.00","11,312.00","22,355.00","628,575.00"
ไม้ผล,145,201,346,0
กล้วยน้ำว้า,1,2,3,0
พุทรา,2,6,8,0
มะนาว,0,2,2,0
มะม่วง,134,180,314,0
ลำไย,8,9,17,0
แก้วมังกร,0,2,2,0
ไม้ยืนต้น,"10,898.00","11,111.00","22,009.00","628,575.00"
ปาล์มน้ำมัน,192,198,390,"141,000.00"
มะพร้าว,5,5,10,0
ยางพารา,"10,593.00","10,196.00","20,789.00","487,575.00"
ยูคาลิปตัส,100,574,674,0
ไม้สัก,8,92,100,0
ไผ่,0,46,46,0
หนองกุงศรี,"6,366.00","16,595.25","22,961.25","1,346,700.00"
ไม้ผล,"2,314.00","3,083.00","5,397.00","916,400.00"
ทุเรียน,0,9,9,0
มะขาม,5,5,10,"1,000.00"
มะนาว,2,0,2,400
มะม่วง,"2,307.00","3,069.00","5,376.00","915,000.00"
ไม้ยืนต้น,"4,052.00","13,512.25","17,564.25","430,300.00"
ปาล์มน้ำมัน,180,"1,099.25","1,279.25","417,000.00"
ยางพารา,"3,870.00","12,411.00","16,281.00","12,500.00"
อินทผาลัม,2,2,4,800
สมเด็จ,"6,306.00","5,398.00","11,704.00","27,468.00"
ไม้ยืนต้น,"6,306.00","5,398.00","11,704.00","27,468.00"
ปาล์มน้ำมัน,0,290,290,0
ยางพารา,"5,923.00","4,499.00","10,422.00","27,468.00"
ยูคาลิปตัส,368,509,877,0
ไม้ยืนต้นอื่นๆ,15,100,115,0
ห้วยผึ้ง,"4,876.00","8,554.00","13,430.00","2,000.00"
ไม้ผล,35,49,84,"2,000.00"
กล้วยหอม,17,2,19,"2,000.00"
มะม่วง,0,40,40,0
ลำไย,15,4,19,0
แก้วมังกร,3,3,6,0
ไม้ยืนต้น,"4,841.00","8,505.00","13,346.00",0
ปาล์มน้ำมัน,88,316,404,0
มะพร้าว,0,27,27,0
ยางพารา,"3,729.00","6,263.00","9,992.00",0
ยูคาลิปตัส,"1,000.00","1,888.00","2,888.00",0
ไม้สัก,0,11,11,0
ไผ่,24,0,24,0
สามชัย,"6,155.00","7,189.53","13,344.53","925,550.00"
ไม้ผล,929,221,"1,150.00","790,550.00"
กล้วยน้ำว้า,38,34,72,550
กล้วยหอม,0,2,2,0
มะม่วง,866,185,"1,051.00","790,000.00"
ลำไย,25,0,25,0
ไม้ยืนต้น,"5,226.00","6,968.53","12,194.53","135,000.00"
ปาล์มน้ำมัน,30,135,165,0
ยางพารา,"5,196.00","3,799.00","8,995.00","135,000.00"
ยูคาลิปตัส,0,"3,034.53","3,034.53",0
นาคู,"3,942.40","4,972.47","8,914.87","1,427,324.60"
ไม้ผล,154,243,397,"77,633.00"
กล้วยน้ำว้า,20,0,20,"16,052.00"
กล้วยหอม,18,23,41,"4,243.00"
มะขาม,40,26,66,"24,811.00"
มะม่วง,54,194,248,"32,277.00"
ลำไย,7,0,7,250
ลิ้นจี่,15,0,15,0
ไม้ยืนต้น,"3,788.40","4,729.47","8,517.87","1,349,691.60"
ปาล์มน้ำมัน,4,5,9,"19,402.00"
ยางพารา,"3,459.40","4,714.47","8,173.87","1,330,289.60"
ยูคาลิปตัส,325,0,325,0
ไม้สัก,0,10,10,0
ดอนจาน,"5,051.00","6,733.50","11,784.50","2,600.00"
ไม้ผล,19.5,134.75,154.25,"2,600.00"
กล้วยหอม,5,66.75,71.75,0
ฝรั่ง,12.5,17,29.5,"2,400.00"
พุทรา,2,51,53,200
ไม้ยืนต้น,"5,031.50","6,598.75","11,630.25",0
ยางพารา,"5,021.50","6,591.50","11,613.00",0
หม่อน,10,7.25,17.25,0
ฆ้องชัย,4,70,74,0
ไม้ผล,4,15,19,0
ฝรั่ง,4,8,12,0
มะนาว,0,7,7,0
ไม้ยืนต้น,0,55,55,0
ยางพารา,0,55,55,0
กำแพงเพชร,"62,508.75","84,797.50","147,306.25","56,347,200.25"
เมืองกำแพงเพชร,"23,763.00","15,605.75","39,368.75","12,402,246.00"
ไม้ผล,"8,511.00","2,576.75","11,087.75","9,211,450.00"
กระท้อน,26,9,35,"4,300.00"
กล้วยไข่,898,67.75,965.75,"2,479,200.00"
กล้วยน้ำว้า,307,183,490,"1,427,790.00"
เงาะ,10,0,10,0
ชมพู่,44,0,44,"1,800.00"
น้อยหน่า,132,34,166,"33,700.00"
ฝรั่ง,798,528,"1,326.00","643,800.00"
มะนาว,"3,526.00","1,161.00","4,687.00","4,066,770.00"
มะปรางหวาน,30,0,30,0
มะม่วง,874,203,"1,077.00","219,700.00"
มะยงชิด,25,22,47,0
มะละกอ,202,68,270,"198,190.00"
ลำไย,"1,307.00",246,"1,553.00","51,900.00"
ส้มเขียวหวาน,321,0,321,"81,000.00"
แก้วมังกร,11,55,66,"3,300.00"
ไม้ยืนต้น,"15,252.00","13,025.00","28,277.00","3,190,796.00"
ปาล์มน้ำมัน,770,438,"1,208.00","1,061,000.00"
มะพร้าว,5,0,5,0
ยางพารา,"10,578.00","8,957.00","19,535.00","1,803,796.00"
ยูคาลิปตัส,"3,212.00","2,764.00","5,976.00",0
ไม้สัก,652,866,"1,518.00","270,000.00"
ไผ่,35,0,35,"56,000.00"
สมุนไพรและเครื่องเทศ (รต.02),0,4,4,0
พริกไทย,0,4,4,0
ไทรงาม,"2,901.00",197,"3,098.00","8,330,751.38"
ไม้ผล,"2,348.00",0,"2,348.00","6,948,527.00"
ฝรั่ง,88,0,88,"159,780.00"
มะนาว,"1,156.00",0,"1,156.00","5,907,497.00"
มะม่วง,191,0,191,"66,330.00"
ลำไย,913,0,913,"814,920.00"
ไม้ยืนต้น,553,197,750,"1,382,224.38"
ปาล์มน้ำมัน,335,0,335,"1,353,158.00"
ยางพารา,218,144,362,"29,066.38"
ไม้สัก,0,53,53,0
คลองลาน,"3,873.00","10,755.00","14,628.00","1,030,000.00"
ไม้ผล,"1,268.00",183,"1,451.00","327,500.00"
กล้วยไข่,171,111,282,"14,500.00"
กล้วยน้ำว้า,30,15,45,"3,000.00"
ฝรั่ง,14,4,18,0
มะขาม,100,25,125,0
มะม่วง,207,0,207,0
มะยงชิด,0,11,11,0
มะละกอ,230,0,230,"160,000.00"
ลำไย,467,17,484,"150,000.00"
แก้วมังกร,49,0,49,0
ไม้ยืนต้น,"2,605.00","10,572.00","13,177.00","702,500.00"
ปาล์มน้ำมัน,525,378,903,"697,500.00"
ยางพารา,"1,931.00","8,526.00","10,457.00",0
ยูคาลิปตัส,0,"1,554.00","1,554.00",0
ไผ่,73,14,87,0
หม่อน,76,100,176,"5,000.00"
ขาณุวรลักษบุรี,"4,920.00","18,981.00","23,901.00","5,787,700.00"
ไม้ผล,"3,098.00","1,401.00","4,499.00","4,907,700.00"
กระท้อน,307,5,312,"812,000.00"
กล้วยไข่,0,21,21,0
กล้วยน้ำว้า,305,152,457,0
ฝรั่ง,24,26,50,0
พุทรา,7,0,7,0
มะนาว,57,140,197,0
มะปรางหวาน,152,32,184,0
มะม่วง,"1,387.00",703,"2,090.00","1,320,000.00"
มะยงชิด,167,0,167,0
มะละกอ,25,0,25,"4,000.00"
ลำไย,27,10,37,"20,000.00"
ส้มเขียวหวาน,270,50,320,0
ส้มโอ,351,262,613,"2,751,700.00"
แก้วมังกร,19,0,19,0
ไม้ยืนต้น,"1,822.00","17,580.00","19,402.00","880,000.00"
ปาล์มน้ำมัน,40,634,674,0
ยางพารา,220,"6,640.00","6,860.00",0
ยูคาลิปตัส,"1,562.00","6,279.00","7,841.00","880,000.00"
ไม้สัก,0,"2,777.00","2,777.00",0
สะเดา,0,"1,250.00","1,250.00",0
คลองขลุง,"5,284.25","4,015.75","9,300.00","2,000.00"
ไม้ผล,"3,983.00","1,142.00","5,125.00",0
กระท้อน,77,17,94,0
กล้วยไข่,310,326,636,0
กล้วยน้ำว้า,705,74,779,0
กล้วยหอม,40,40,80,0
ขนุนหนัง,4,2,6,0
เงาะ,26,0,26,0
ชมพู่,51,0,51,0
ทุเรียน,2,30,32,0
น้อยหน่า,4,0,4,0
ฝรั่ง,59,3,62,0
มะดัน,0,5,5,0
มะนาว,125,58,183,0
มะปรางหวาน,88,2,90,0
มะไฟ,15,2,17,0
มะม่วง,214,54,268,0
มะยงชิด,49,43,92,0
มะละกอ,"1,917.00",205,"2,122.00",0
มังคุด,4,0,4,0
ลองกอง,0,1,1,0
ละมุด,1,0,1,0
ลำไย,41,22,63,0
ลิ้นจี่,9,0,9,0
ส้มเขียวหวาน,216,255,471,0
ส้มโอ,0,3,3,0
แก้วมังกร,26,0,26,0
ไม้ยืนต้น,"1,301.25","2,873.75","4,175.00","2,000.00"
ปาล์มน้ำมัน,225,220,445,0
มะพร้าว,6,0,6,0
ยางพารา,"1,055.25","1,503.75","2,559.00",0
ยูคาลิปตัส,2,616,618,"2,000.00"
ไม้สัก,0,378,378,0
สะเดา,12,111,123,0
ไผ่,1,0,1,0
ไม้ยืนต้นอื่นๆ,0,45,45,0
พรานกระต่าย,"4,449.00","28,981.00","33,430.00",0
ไม้ผล,"1,399.00",297,"1,696.00",0
กระท้อน,5,0,5,0
กล้วยไข่,265,265,530,0
กล้วยน้ำว้า,318,0,318,0
มะนาว,732,12,744,0
มะม่วง,16,0,16,0
ลำไย,43,20,63,0
ส้มโอ,20,0,20,0
ไม้ยืนต้น,"3,050.00","28,684.00","31,734.00",0
ปาล์มน้ำมัน,0,580,580,0
ยางพารา,110,"1,253.00","1,363.00",0
ยูคาลิปตัส,"2,930.00","20,113.00","23,043.00",0
ไม้สัก,0,"6,738.00","6,738.00",0
ไผ่,5,0,5,0
หม่อน,5,0,5,0
ลานกระบือ,"1,352.50",454,"1,806.50","77,930.00"
ไม้ผล,925,282,"1,207.00","75,850.00"
กล้วยไข่,13,0,13,0
กล้วยน้ำว้า,406,193,599,"12,420.00"
มะนาว,395,75,470,"9,920.00"
มะยงชิด,15,0,15,0
ลำไย,96,14,110,"53,510.00"
ไม้ยืนต้น,427.5,172,599.5,"2,080.00"
ปาล์มน้ำมัน,10,74,84,0
มะพร้าว,0,10,10,0
ยางพารา,410.5,86,496.5,"1,580.00"
ไผ่,2,2,4,500
หม่อน,5,0,5,0
ทรายทองวัฒนา,"1,671.00",665,"2,336.00","4,247,299.85"
ไม้ผล,"1,256.00",468,"1,724.00","4,101,700.00"
กล้วยไข่,10,8,18,"34,500.00"
กล้วยน้ำว้า,192,0,192,"1,319,000.00"
พุทรา,0,20,20,0
มะนาว,19,0,19,"41,200.00"
มะละกอ,324,230,554,"1,157,000.00"
ลำไย,56,0,56,0
ส้มเขียวหวาน,655,210,865,"1,550,000.00"
ไม้ยืนต้น,415,197,612,"145,599.85"
ปาล์มน้ำมัน,107,0,107,"131,000.00"
ยางพารา,288,70,358,"14,599.85"
ยูคาลิปตัส,0,10,10,0
ไม้สัก,20,117,137,0
ปางศิลาทอง,"4,315.00","3,668.00","7,983.00","1,986,815.87"
ไม้ผล,578,297,875,"435,850.00"
กล้วยน้ำว้า,15,0,15,"5,850.00"
เงาะ,3,0,3,500
ทุเรียน,5,35,40,"2,900.00"
มะกรูด,5,0,5,0
มะนาว,133,57,190,"207,650.00"
มะม่วง,156,0,156,"214,200.00"
มะยงชิด,30,15,45,"2,750.00"
มะละกอ,40,40,80,"2,000.00"
ลำไย,191,150,341,0
ไม้ยืนต้น,"3,737.00","3,371.00","7,108.00","1,550,965.87"
ปาล์มน้ำมัน,370,70,440,"228,990.00"
ยางพารา,"2,617.00","1,870.00","4,487.00","1,321,605.87"
