พื้นที่,เนื้อที่ปลูก,ผลผลิต
เมืองระนอง,230.75,"26,768.00"
ละอุ่น,12,"3,200.00"
กะเปอร์,417,"16,880.00"
กระบุรี,267.75,"223,190.00"
สุขสำราญ,90,0
เมืองระยอง,"5,326.00","7,784,044.65"
บ้านฉาง,"16,905.75","39,374,310.00"
แกลง,"5,936.00","13,278,840.00"
วังจันทร์,"4,165.25","18,774,690.03"
บ้านค่าย,"16,903.00","21,966,470.00"
ปลวกแดง,"36,740.70","79,568,050.00"
เขาชะเมา,"4,196.00","7,243,460.00"
นิคมพัฒนา,"36,859.50","101,146,020.00"
เมืองราชบุรี,"31,223.75","7,470,160.00"
จอมบึง,"115,440.01","379,056,800.00"
สวนผึ้ง,"39,904.50","66,250,197.00"
ดำเนินสะดวก,"12,328.04","14,057,225.00"
บ้านโป่ง,"173,646.75","605,777,664.00"
บางแพ,"9,455.00","12,806,427.00"
โพธาราม,"134,547.25","326,920,694.00"
ปากท่อ,"132,518.00","184,032,000.00"
วัดเพลง,"16,094.00","8,479,000.00"
บ้านคา,"106,961.50","105,589,551.00"
เมืองลพบุรี,"266,624.65","413,995,398.50"
พัฒนานิคม,"255,082.00","1,008,781,544.00"
โคกสำโรง,"221,441.00","384,308,410.00"
