AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,440610,ต. หนองจิก,Nong Chik,4406,อ. บรบือ,Borabue,44,จ. มหาสารคาม,Maha Sarakham,16.024,103.17,มหาสารคาม,บรบือ
4,360301,ต. คอนสวรรค์,Khon Sawan,3603,อ. คอนสวรรค์,Khon Sawan,36,จ. ชัยภูมิ,Chaiyaphum,15.93,102.32700000000001,ชัยภูมิ,คอนสวรรค์
4,820105,ต. ตากแดด,Tak Daet,8201,อ. เมืองพังงา,Mueang Phang-nga,82,จ. พังงา,Phang-nga,8.433,98.48899999999999,พังงา,เมืองพังงา
4,440702,ต. สำโรง,Samrong,4407,อ. นาเชือก,Na Chueak,44,จ. มหาสารคาม,Maha Sarakham,15.87,103.007,มหาสารคาม,นาเชือก
4,570806,ต. โยนก,Yonok,5708,อ. เชียงแสน,Chiang Saen,57,จ. เชียงราย,Chiang Rai,20.238,100.06200000000001,เชียงราย,เชียงแสน
4,411103,ต. ดงเย็น,Dong Yen,4111,อ. บ้านดุง,Ban Dung,41,จ. อุดรธานี,Udon Thani,17.637,103.37899999999999,อุดรธานี,บ้านดุง
4,450804,ต. อัคคะคำ,Ak Khakham,4508,อ. โพธิ์ชัย,Pho Chai,45,จ. ร้อยเอ็ด,Roi Et,16.385,103.74600000000001,ร้อยเอ็ด,โพธิ์ชัย
4,570605,ต. โรงช้าง,Rong Chang,5706,อ. ป่าแดด,Pa Daet,57,จ. เชียงราย,Chiang Rai,19.494,99.947,เชียงราย,ป่าแดด
4,310601,ต. ละหานทราย,Lahan Sai,3106,อ. ละหานทราย,Lahan Sai,31,จ. บุรีรัมย์,Buri Ram,14.418,102.854,บุรีรัมย์,ละหานทราย
4,301606,ต. งิ้ว,Ngio,3016,อ. ห้วยแถลง,Huai Thalaeng,30,จ. นครราชสีมา,Nakhon Ratchasima,15.077,102.689,นครราชสีมา,ห้วยแถลง
4,361006,ต. บ้านเพชร,Ban Phet,3610,อ. ภูเขียว,Phu Khiao,36,จ. ชัยภูมิ,Chaiyaphum,16.344,102.256,ชัยภูมิ,ภูเขียว
4,450713,ต. วังสามัคคี,Wang Samakkhi,4507,อ. โพนทอง,Phon Thong,45,จ. ร้อยเอ็ด,Roi Et,16.267,104.041,ร้อยเอ็ด,โพนทอง
4,311803,ต. เมืองยาง,Mueang Yang,3118,อ. ชำนิ,Chamni,31,จ. บุรีรัมย์,Buri Ram,14.794,102.906,บุรีรัมย์,ชำนิ
4,800710,ต. เขาพระทอง,Khao Phra Thong,8007,อ. ชะอวด,Cha-uat,80,จ. นครศรีธรรมราช,Nakhon Si Thammarat,7.974,99.905,นครศรีธรรมราช,ชะอวด
4,440708,ต. หนองเรือ,Nong Ruea,4407,อ. นาเชือก,Na Chueak,44,จ. มหาสารคาม,Maha Sarakham,15.828,103.12299999999999,มหาสารคาม,นาเชือก
4,430509,ต. เซิม,Some,4305,อ. โพนพิสัย,Phon Phisai,43,จ. หนองคาย,Nong Khai,17.926,103.277,หนองคาย,โพนพิสัย
4,311804,ต. ช่อผกา,Cho Phaka,3118,อ. ชำนิ,Chamni,31,จ. บุรีรัมย์,Buri Ram,14.809000000000001,102.787,บุรีรัมย์,ชำนิ
4,410406,ต. เชียงแหว,Chiang Wae,4104,อ. กุมภวาปี,Kumphawapi,41,จ. อุดรธานี,Udon Thani,17.198,103.02600000000001,อุดรธานี,กุมภวาปี
4,400401,ต. หนองเรือ,Nong Ruea,4004,อ. หนองเรือ,Nong Ruea,40,จ. ขอนแก่น,Khon Kaen,16.500999999999998,102.464,ขอนแก่น,หนองเรือ
4,660602,ต. ท้ายน้ำ,Thai Nam,6606,อ. โพทะเล,Pho Thale,66,จ. พิจิตร,Phichit,16.147000000000002,100.20700000000001,พิจิตร,โพทะเล
4,312101,ต. บ้านด่าน,Ban Dan,3121,อ. บ้านด่าน,Ban Dan,31,จ. บุรีรัมย์,Buri Ram,15.112,103.162,บุรีรัมย์,บ้านด่าน
4,400710,ต. ท่ากระเสริม,Tha Krasoem,4007,อ. น้ำพอง,Nam Phong,40,จ. ขอนแก่น,Khon Kaen,16.613,102.87799999999999,ขอนแก่น,น้ำพอง
4,450708,ต. โพธิ์ศรีสว่าง,Pho Si Sawang,4507,อ. โพนทอง,Phon Thong,45,จ. ร้อยเอ็ด,Roi Et,16.242,103.88799999999999,ร้อยเอ็ด,โพนทอง
4,250302,ต. สำพันตา,Sam Phan Ta,2503,อ. นาดี,Na Di,25,จ. ปราจีนบุรี,Prachin Buri,14.081,101.766,ปราจีนบุรี,นาดี
4,440309,ต. เหล่า,Lao,4403,อ. โกสุมพิสัย,Kosum Phisai,44,จ. มหาสารคาม,Maha Sarakham,16.18,103.068,มหาสารคาม,โกสุมพิสัย
4,450305,ต. โนนสวรรค์,Non Sawan,4503,อ. ปทุมรัตต์,Pathum Rat,45,จ. ร้อยเอ็ด,Roi Et,15.584000000000001,103.435,ร้อยเอ็ด,ปทุมรัตต์
4,340806,ต. โนนสวรรค์,Non Sawan,3408,อ. นาจะหลวย,Na Chaluai,34,จ. อุบลราชธานี,Ubon Ratchathani,14.659,105.141,อุบลราชธานี,นาจะหลวย
4,160402,ต. ชัยนารายณ์,Chai Narai,1604,อ. ชัยบาดาล,Chai Badan,16,จ. ลพบุรี,Lop Buri,15.195,101.037,ลพบุรี,ชัยบาดาล
4,650104,ต. วัดพริก,Wat Phrik,6501,อ. เมืองพิษณุโลก,Mueang Phitsanulok,65,จ. พิษณุโลก,Phitsanulok,16.715,100.243,พิษณุโลก,เมืองพิษณุโลก
4,431702,ต. โพนทอง,Phon Thong,4317,อ. โพธิ์ตาก,Pho Tak,43,จ. หนองคาย,Nong Khai,17.881,102.454,หนองคาย,โพธิ์ตาก
4,402204,ต. นาแพง,Na Phaeng,4022,อ. โคกโพธิ์ไชย,Khok Pho Chai,40,จ. ขอนแก่น,Khon Kaen,16.078,102.47200000000001,ขอนแก่น,โคกโพธิ์ไชย
4,471220,ต. ธาตุทอง,That Thong,4712,อ. สว่างแดนดิน,Sawang Daen Din,47,จ. สกลนคร,Sakon Nakhon,17.494,103.579,สกลนคร,สว่างแดนดิน
4,501705,ต. บงตัน,Bong Tan,5017,อ. ดอยเต่า,Doi Tao,50,จ. เชียงใหม่,Chiang Mai,18.017,98.661,เชียงใหม่,ดอยเต่า
4,530709,ต. พญาแมน,Phaya Maen,5307,อ. พิชัย,Phichai,53,จ. อุตรดิตถ์,Uttaradit,17.187,100.016,อุตรดิตถ์,พิชัย
4,550401,ต. นาน้อย,Na Noi,5504,อ. นาน้อย,Na Noi,55,จ. น่าน,Nan,18.313,100.681,น่าน,นาน้อย
4,300903,ต. กำปัง,Kampang,3009,อ. โนนไทย,Non Thai,30,จ. นครราชสีมา,Nakhon Ratchasima,15.118,102.06,นครราชสีมา,โนนไทย
4,320119,ต. เมืองที,Mueang Thi,3201,อ. เมืองสุรินทร์,Mueang Surin,32,จ. สุรินทร์,Surin,14.91,103.652,สุรินทร์,เมืองสุรินทร์
4,331601,ต. บุสูง,Bu Sung,3316,อ. วังหิน,Wang Hin,33,จ. ศรีสะเกษ,Si Sa Ket,14.957,104.209,ศรีสะเกษ,วังหิน
4,110205,ต. คลองด่าน,,1102,อ. บางบ่อ,Bang Bo,11,จ. สมุทรปราการ,Samut Prakarn,13.511,100.835,สมุทรปราการ,บางบ่อ
4,310310,ต. กันทรารมย์,Kanthararom,3103,อ. กระสัง,Krasang,31,จ. บุรีรัมย์,Buri Ram,14.966,103.34,บุรีรัมย์,กระสัง
4,250104,ต. บางเดชะ,Bang Decha,2501,อ. เมืองปราจีนบุรี,Mueang Prachin Buri,25,จ. ปราจีนบุรี,Prachin Buri,13.991,101.33,ปราจีนบุรี,เมืองปราจีนบุรี
4,311405,ต. เสาเดียว,Sao Diao,3114,อ. หนองหงส์,Nong Hong,31,จ. บุรีรัมย์,Buri Ram,14.911,102.609,บุรีรัมย์,หนองหงส์
4,311403,ต. ไทยสามัคคี,Thai Samakkhi,3114,อ. หนองหงส์,Nong Hong,31,จ. บุรีรัมย์,Buri Ram,14.885,102.76299999999999,บุรีรัมย์,หนองหงส์
